,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
117,16.0,12.0,13.0,18.0,19.0,14.0,11.0,7.0,14.0,15.0,17.0,14.0,6.0,17.0,19.0,12.0,7.0,4.0,11.0,20.0,19.0,22.0,17.0
118,24.0,3.0,13.0,8.0,20.0,11.0,24.0,7.0,10.0,2.0,8.0,19.0,16.0,24.0,23.0,12.0,7.0,10.0,5.0,9.0,24.0,24.0,21.0
119,12.0,14.0,13.0,11.0,17.0,14.0,22.0,9.0,5.0,6.0,19.0,14.0,17.0,15.0,24.0,5.0,19.0,12.0,18.0,14.0,13.0,20.0,11.0
120,9.0,12.0,11.0,7.0,23.0,17.0,24.0,4.0,2.0,12.0,18.0,13.0,12.0,24.0,24.0,3.0,11.0,2.0,24.0,19.0,19.0,19.0,15.0
121,22.0,10.0,3.0,9.0,23.0,13.0,23.0,7.0,9.0,8.0,5.0,19.0,14.0,24.0,23.0,4.0,10.0,13.0,13.0,20.0,23.0,14.0,15.0
122,6.0,12.0,12.0,9.0,24.0,19.0,21.0,2.0,8.0,3.0,17.0,24.0,15.0,17.0,23.0,4.0,10.0,24.0,5.0,16.0,19.0,19.0,15.0
123,16.0,16.0,16.0,20.0,5.0,18.0,12.0,12.0,8.0,13.0,8.0,10.0,17.0,24.0,17.0,0.0,20.0,12.0,4.0,19.0,14.0,23.0,20.0
124,9.0,8.0,10.0,14.0,24.0,14.0,24.0,8.0,19.0,6.0,16.0,14.0,2.0,21.0,23.0,6.0,15.0,5.0,5.0,19.0,15.0,24.0,23.0
125,17.0,14.0,17.0,6.0,13.0,13.0,23.0,14.0,11.0,16.0,14.0,12.0,5.0,14.0,23.0,7.0,8.0,14.0,9.0,17.0,9.0,24.0,24.0
126,8.0,15.0,15.0,5.0,16.0,20.0,24.0,3.0,8.0,3.0,10.0,14.0,24.0,23.0,24.0,5.0,9.0,17.0,9.0,24.0,17.0,16.0,15.0
127,14.0,10.0,7.0,10.0,17.0,21.0,24.0,12.0,5.0,10.0,20.0,10.0,8.0,24.0,20.0,10.0,4.0,2.0,12.0,24.0,23.0,13.0,24.0
